"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.139","13.107.43.12","TLSv1.2","696","Application Data"
"2","0.108471","13.107.43.12","192.168.100.139","TCP","60","443  >  65222 [ACK] Seq=1 Ack=643 Win=16384 Len=0"
"3","0.286906","13.107.43.12","192.168.100.139","TLSv1.2","950","Application Data"
"4","0.286908","13.107.43.12","192.168.100.139","TLSv1.2","111","Application Data"
"5","0.287196","192.168.100.139","13.107.43.12","TCP","54","65222  >  443 [ACK] Seq=643 Ack=954 Win=1025 Len=0"
"6","1.066672","2603:1063:2204::1f","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","107","Application Data"
"7","1.117310","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2603:1063:2204::1f","TCP","74","64761  >  443 [ACK] Seq=1 Ack=34 Win=1023 Len=0"
"8","3.163790","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","100","Standard query 0xa105 A catalog.gamepass.com"
"9","3.163996","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","100","Standard query 0x55b9 AAAA catalog.gamepass.com"
"10","3.190613","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","236","Standard query response 0x55b9 AAAA catalog.gamepass.com CNAME catalog.gamepass.com.edgesuite.net CNAME a1992.dscd.akamai.net AAAA 2600:1419:b400::173f:1c12 AAAA 2600:1419:b400::173f:1c20"
"11","3.190614","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","212","Standard query response 0xa105 A catalog.gamepass.com CNAME catalog.gamepass.com.edgesuite.net CNAME a1992.dscd.akamai.net A 104.101.21.65 A 104.101.21.66"
"12","3.197094","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","86","65259  >  443 [SYN] Seq=0 Win=64952 Len=0 MSS=1412 WS=256 SACK_PERM=1"
"13","3.282607","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","86","443  >  65259 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1440 SACK_PERM=1 WS=128"
"14","3.282937","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"15","3.283802","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TLSv1.2","279","Client Hello"
"16","3.368367","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [ACK] Seq=1 Ack=206 Win=64640 Len=0"
"17","3.370026","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","1486","Server Hello"
"18","3.370031","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","1486","Certificate [TCP segment of a reassembled PDU]"
"19","3.370032","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","1060","Certificate Status, Server Key Exchange, Server Hello Done"
"20","3.370253","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [ACK] Seq=206 Ack=3811 Win=262400 Len=0"
"21","3.373181","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"22","3.460110","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [ACK] Seq=3811 Ack=332 Win=64640 Len=0"
"23","3.460328","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","332","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"24","3.461738","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TLSv1.2","161","Application Data"
"25","3.461771","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TLSv1.2","196","Application Data"
"26","3.548349","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [ACK] Seq=4069 Ack=419 Win=64640 Len=0"
"27","3.548350","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [ACK] Seq=4069 Ack=541 Win=64640 Len=0"
"28","3.549486","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","142","Application Data"
"29","3.549486","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","112","Application Data"
"30","3.549487","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","227","Application Data"
"31","3.549710","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [ACK] Seq=541 Ack=4328 Win=261888 Len=0"
"32","3.549748","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","112","Application Data"
"33","3.549834","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [ACK] Seq=541 Ack=4366 Win=261888 Len=0"
"34","3.550091","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TLSv1.2","112","Application Data"
"35","3.550306","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [FIN, ACK] Seq=579 Ack=4366 Win=261888 Len=0"
"36","3.640423","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [ACK] Seq=4366 Ack=579 Win=64640 Len=0"
"37","3.640966","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","105","Encrypted Alert"
"38","3.640966","2600:1419:b400::173f:1c12","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","74","443  >  65259 [FIN, ACK] Seq=4397 Ack=580 Win=64640 Len=0"
"39","3.641362","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:1419:b400::173f:1c12","TCP","74","65259  >  443 [RST, ACK] Seq=580 Ack=4397 Win=0 Len=0"
"40","8.307213","192.168.100.139","13.107.42.12","TLSv1.2","474","Application Data"
"41","8.307249","192.168.100.139","13.107.42.12","TLSv1.2","305","Application Data"
"42","8.378298","192.168.100.139","13.107.43.12","TCP","1466","65222  >  443 [ACK] Seq=643 Ack=954 Win=1025 Len=1412 [TCP segment of a reassembled PDU]"
"43","8.378303","192.168.100.139","13.107.43.12","TLSv1.2","647","Application Data"
"44","8.378433","192.168.100.139","13.107.43.12","TCP","1466","65222  >  443 [ACK] Seq=2648 Ack=954 Win=1025 Len=1412 [TCP segment of a reassembled PDU]"
"45","8.378434","192.168.100.139","13.107.43.12","TLSv1.2","144","Application Data"
"46","8.412322","13.107.42.12","192.168.100.139","TCP","60","443  >  64871 [ACK] Seq=1 Ack=672 Win=16381 Len=0"
"47","8.486397","13.107.43.12","192.168.100.139","TCP","60","443  >  65222 [ACK] Seq=954 Ack=2648 Win=16386 Len=0"
"48","8.487201","13.107.43.12","192.168.100.139","TCP","60","443  >  65222 [ACK] Seq=954 Ack=4060 Win=16386 Len=0"
"49","8.487202","13.107.43.12","192.168.100.139","TCP","60","443  >  65222 [ACK] Seq=954 Ack=4150 Win=16386 Len=0"
"50","8.578598","13.107.42.12","192.168.100.139","TLSv1.2","948","Application Data"
"51","8.578600","13.107.42.12","192.168.100.139","TLSv1.2","111","Application Data"
"52","8.578821","192.168.100.139","13.107.42.12","TCP","54","64871  >  443 [ACK] Seq=672 Ack=952 Win=1025 Len=0"
"53","8.785836","13.107.43.12","192.168.100.139","TLSv1.2","1173","Application Data"
"54","8.785837","13.107.43.12","192.168.100.139","TLSv1.2","1083","Application Data"
"55","8.786132","192.168.100.139","13.107.43.12","TCP","54","65222  >  443 [ACK] Seq=4150 Ack=3102 Win=1025 Len=0"
"56","9.063621","IntelCor_00:bb:56","Broadcast","ARP","42","Who has 192.168.100.1? Tell 192.168.100.139"
"57","9.064281","HuaweiTe_e0:42:dc","IntelCor_00:bb:56","ARP","60","192.168.100.1 is at 10:51:72:e0:42:dc"
"58","9.064356","HuaweiTe_e0:42:dc","IntelCor_00:bb:56","ARP","60","192.168.100.1 is at 10:51:72:e0:42:dc"
"59","9.071753","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"60","11.802868","192.168.100.122","192.168.100.255","UDP","82","57621  >  57621 Len=40"
"61","12.074323","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"62","12.251655","20.10.31.115","192.168.100.139","TLSv1.2","797","Application Data"
"63","12.254337","192.168.100.139","20.10.31.115","TLSv1.2","133","Application Data"
"64","12.262841","192.168.100.139","13.107.42.12","TCP","1466","65242  >  443 [ACK] Seq=1 Ack=1 Win=1025 Len=1412 [TCP segment of a reassembled PDU]"
"65","12.262858","192.168.100.139","13.107.42.12","TLSv1.2","902","Application Data"
"66","12.366713","13.107.42.12","192.168.100.139","TCP","60","443  >  65242 [ACK] Seq=1 Ack=2261 Win=16386 Len=0"
"67","12.478072","20.10.31.115","192.168.100.139","TCP","60","443  >  60160 [ACK] Seq=744 Ack=80 Win=7631 Len=0"
"68","12.597090","13.107.42.12","192.168.100.139","TCP","1466","443  >  65242 [ACK] Seq=1 Ack=2261 Win=16386 Len=1412 [TCP segment of a reassembled PDU]"
"69","12.597091","13.107.42.12","192.168.100.139","TLSv1.2","1331","Application Data"
"70","12.597395","192.168.100.139","13.107.42.12","TCP","54","65242  >  443 [ACK] Seq=2261 Ack=2690 Win=1025 Len=0"
